aX,aY,aZ,gX,gY,gZ
0.611,-0.197,0.728,4.639,-10.925,-40.588
0.632,-0.239,0.712,6.104,-6.104,-32.532
0.676,-0.275,0.687,6.165,-2.136,-23.621
0.713,-0.278,0.658,4.028,0.916,-15.137
0.724,-0.258,0.639,-0.732,1.770,-7.385
0.722,-0.220,0.639,-7.385,0.244,-1.709
0.715,-0.170,0.652,-10.193,1.343,1.831
0.705,-0.128,0.662,-12.451,-0.305,4.395
0.707,-0.105,0.652,-12.268,1.526,4.456
0.726,-0.098,0.639,-10.742,1.709,2.625
0.746,-0.102,0.627,-8.179,1.709,0.793
0.755,-0.107,0.628,-7.202,0.488,0.061
0.747,-0.105,0.635,-7.141,-0.854,-0.183

0.114,-0.083,0.924,7.874,0.122,-4.333
0.117,-0.093,0.922,9.521,-0.427,-4.272
0.119,-0.100,0.932,8.484,-3.906,-3.479
0.121,-0.096,0.943,7.446,-5.493,-2.136
0.129,-0.084,0.959,5.737,-6.897,-0.854
0.135,-0.069,0.976,4.578,-8.667,0.305
0.143,-0.056,0.996,3.418,-9.094,0.488
0.133,-0.045,1.013,2.930,-10.986,0.305
0.111,-0.047,1.083,3.540,-9.888,-0.732
0.109,-0.053,1.118,4.211,-6.653,-1.709
0.121,-0.054,1.067,4.883,-3.479,-3.052
0.150,-0.067,1.013,5.432,-2.808,-4.456
0.153,-0.082,0.988,6.775,-2.319,-4.944
0.139,-0.072,0.969,7.935,-3.723,-3.967
0.127,-0.075,0.968,9.216,-5.981,-2.991
0.112,-0.089,0.976,10.437,-5.615,-3.174
0.112,-0.090,0.978,10.132,-5.249,-3.052
0.118,-0.102,0.982,10.559,-4.028,-3.418
0.116,-0.113,0.995,10.254,-5.066,-3.845
0.116,-0.122,1.000,10.498,-4.700,-2.625
0.115,-0.133,1.000,9.155,-4.089,-1.709
0.115,-0.132,1.000,6.653,-4.944,-0.916
0.115,-0.124,1.001,4.944,-3.235,-0.427
0.114,-0.114,1.000,3.418,-3.601,0.366
0.112,-0.102,1.000,2.930,-3.906,0.183
0.114,-0.087,1.000,3.174,-3.723,-0.244
0.116,-0.077,1.010,3.906,-5.188,-1.221
0.119,-0.075,1.021,6.165,-5.432,-2.197
0.133,-0.070,1.042,7.385,-7.385,-2.991
0.138,-0.064,1.075,9.033,-8.789,-4.333
0.167,-0.089,1.117,9.583,-10.071,-5.920
0.225,-0.139,1.215,7.812,-14.893,-4.517
0.238,-0.171,1.333,0.061,-23.071,2.808
0.225,-0.122,1.482,-10.498,-28.381,13.733
0.196,-0.049,1.711,-19.165,-35.461,26.367
0.091,-0.070,2.040,-29.846,-34.485,34.729
0.028,-0.043,2.348,-56.152,-16.541,41.077
0.129,0.090,2.557,-97.656,11.169,46.204
0.300,0.409,2.730,-144.104,36.682,55.420
0.382,0.850,2.804,-192.932,61.707,70.801
0.374,1.415,2.769,-239.380,90.271,84.656
0.344,2.057,2.646,-268.799,125.244,83.740
0.334,2.715,2.455,-273.804,163.696,64.758
0.292,3.377,2.164,-255.981,203.491,33.081
0.355,3.988,1.814,-219.788,239.502,-9.399
0.422,4.000,1.450,-157.410,266.602,-75.745
0.531,4.000,1.153,-68.481,275.757,-159.546
0.615,3.943,0.864,16.541,265.015,-246.033
0.556,3.206,0.706,77.209,236.816,-335.632
0.199,2.087,0.694,105.225,197.449,-422.974
-0.290,1.229,0.806,91.980,164.856,-481.018
-0.837,0.497,0.862,46.082,153.320,-500.977
-1.300,-0.150,0.835,-27.344,158.569,-490.417
-1.590,-0.654,0.746,-115.112,182.739,-459.656
-1.763,-1.030,0.631,-204.346,212.952,-437.317
-1.814,-1.112,0.585,-284.363,227.539,-435.059
-1.778,-0.938,0.496,-342.651,228.333,-434.570
-1.799,-0.725,0.349,-371.521,208.801,-426.392
-1.880,-0.707,0.328,-361.755,157.166,-404.236
-1.838,-0.844,0.457,-319.641,89.966,-362.976
-1.689,-1.011,0.670,-265.076,18.799,-306.091
-1.520,-1.190,0.834,-226.074,-40.588,-251.465
-1.481,-1.380,1.001,-212.769,-87.036,-212.646
-1.467,-1.453,1.242,-209.045,-113.281,-191.101
-1.300,-1.402,1.450,-203.735,-106.506,-184.875
-0.974,-1.299,1.589,-188.416,-74.768,-190.918
-0.682,-1.171,1.558,-147.339,-32.288,-194.458
-0.510,-1.061,1.418,-72.754,9.827,-190.369
-0.403,-1.015,1.208,30.151,43.030,-179.199
-0.254,-0.991,0.895,133.911,70.068,-154.053
-0.032,-1.070,0.614,202.332,85.876,-109.985
0.263,-1.187,0.382,204.163,90.820,-56.824
0.548,-1.283,0.225,142.395,83.679,-8.728
0.624,-1.038,0.117,47.852,65.552,36.987
0.571,-0.553,0.104,-40.588,46.753,78.735
0.557,-0.100,0.176,-99.243,28.015,104.004
0.630,0.245,0.258,-121.155,13.855,107.056
0.749,0.426,0.373,-113.892,0.366,92.773
0.863,0.489,0.487,-91.675,-10.742,70.374
0.930,0.480,0.608,-63.782,-22.827,43.945
0.899,0.426,0.772,-32.227,-35.950,17.090
0.783,0.333,0.947,0.732,-44.250,-6.470
0.654,0.195,1.029,29.358,-40.588,-26.550
0.583,0.079,1.021,50.293,-27.161,-44.250
0.601,-0.066,0.950,65.674,-11.047,-58.594
0.639,-0.285,0.854,68.420,2.014,-65.308
0.650,-0.446,0.710,54.871,13.062,-60.791
0.679,-0.491,0.573,31.860,16.907,-48.950
0.742,-0.494,0.505,12.451,13.062,-36.499
0.781,-0.480,0.520,-2.747,0.549,-23.132
0.729,-0.472,0.603,-12.451,-13.489,-6.592
0.676,-0.427,0.675,-21.912,-21.179,8.972
0.658,-0.330,0.748,-31.067,-23.743,20.142
0.630,-0.226,0.847,-38.208,-24.658,27.832
0.614,-0.148,0.925,-40.833,-18.127,32.959
0.621,-0.092,0.958,-40.649,-9.277,35.706
0.667,-0.032,0.921,-38.086,2.258,34.546
0.689,0.046,0.851,-34.485,13.123,29.724
0.706,0.119,0.752,-28.809,18.005,23.071
0.771,0.130,0.655,-21.912,20.020,13.794
0.833,0.096,0.601,-14.893,15.137,3.235
0.847,0.052,0.614,-7.996,6.042,-4.822
0.799,-0.004,0.673,-3.784,-4.272,-9.888
0.756,-0.045,0.719,1.099,-8.484,-13.611
0.734,-0.066,0.752,4.822,-12.512,-15.686
0.703,-0.089,0.782,9.094,-12.146,-15.137
0.680,-0.123,0.800,9.399,-10.986,-12.817
0.658,-0.163,0.812,7.141,-8.240,-11.292
0.651,-0.185,0.796,3.235,-3.906,-10.803
0.675,-0.191,0.772,-0.122,0.305,-10.559
0.699,-0.192,0.753,0.183,3.296,-9.827
0.688,-0.184,0.730,1.892,3.418,-8.057
0.674,-0.183,0.700,4.456,2.991,-5.737
0.675,-0.173,0.671,5.066,1.404,-3.784
0.663,-0.143,0.649,6.165,1.587,-1.404
0.660,-0.141,0.626,4.700,0.732,0.549
0.697,-0.174,0.630,1.953,0.244,1.404
0.705,-0.185,0.648,-3.052,-1.709,3.235
0.681,-0.164,0.659,-8.423,-3.174,5.737

0.134,0.101,0.931,11.780,-4.150,-6.104
0.133,0.076,0.923,11.597,-4.395,-6.592
0.138,0.057,0.931,11.780,-3.723,-6.409
0.146,0.047,0.943,11.475,-4.761,-6.165
0.150,0.034,0.969,11.658,-4.578,-5.981
0.151,0.018,0.986,11.780,-4.089,-5.737
0.160,0.002,0.996,10.986,-3.296,-5.493
0.168,-0.002,1.000,9.644,-3.784,-4.395
0.172,0.000,1.015,8.179,-2.869,-2.930
0.162,-0.006,1.044,5.676,-4.028,-1.953
0.168,0.014,1.013,2.747,-0.854,-1.770
0.184,0.031,0.990,0.305,-0.549,-1.526
0.183,0.035,0.982,0.977,0.122,-1.404
0.169,0.046,0.974,0.671,-1.770,-0.305
0.156,0.059,0.972,1.709,-2.197,-0.488
0.151,0.061,0.968,3.296,-2.686,-1.587
0.150,0.062,0.961,5.005,-2.197,-3.052
0.150,0.067,0.959,6.165,-2.686,-4.089
0.154,0.065,0.964,7.812,-2.380,-4.700
0.157,0.058,0.971,8.850,-3.113,-5.310
0.161,0.054,0.976,9.949,-4.211,-5.432
0.157,0.033,0.991,10.742,-5.188,-5.615
0.152,0.035,1.014,10.742,-6.531,-4.578
0.151,0.047,1.014,9.766,-6.470,-2.930
0.156,0.046,1.006,8.240,-6.409,-2.563
0.165,0.042,1.000,7.812,-5.920,-2.441
0.171,0.039,0.987,8.301,-5.859,-2.319
0.176,0.032,0.980,9.338,-6.287,-2.075
0.187,0.031,0.990,10.132,-7.690,-2.136
0.205,0.037,1.021,11.169,-9.827,-2.014
0.230,0.045,1.074,11.475,-12.573,-0.732
0.249,0.041,1.135,9.705,-15.686,1.587
0.273,0.016,1.210,4.639,-20.142,5.859
0.310,-0.013,1.303,-4.028,-27.161,14.282
0.314,-0.042,1.474,-19.104,-34.790,27.527
0.279,-0.061,1.755,-44.922,-38.208,45.959
0.318,0.045,1.961,-93.994,-31.311,68.970
0.301,0.222,2.162,-163.025,-17.639,91.980
0.287,0.849,2.205,-247.375,7.568,112.854
0.213,1.618,2.278,-316.345,42.358,122.192
0.226,2.543,2.226,-356.689,86.914,114.441
0.330,3.498,2.119,-357.239,133.118,86.060
0.449,4.000,1.995,-312.073,169.250,32.166
0.403,4.000,1.846,-233.215,193.420,-36.743
0.310,4.000,1.616,-147.766,211.304,-103.027
