aX,aY,aZ,gX,gY,gZ
-0.609,0.227,0.724,1.038,5.920,-0.916
-0.608,0.232,0.722,3.113,5.859,0.549
-0.602,0.238,0.719,4.150,4.944,1.221
-0.603,0.236,0.719,4.639,3.906,1.404
-0.604,0.238,0.720,3.174,1.343,0.671
-0.601,0.232,0.727,1.282,-1.587,-0.183
-0.608,0.236,0.735,-0.122,-2.258,-0.854
-0.611,0.230,0.746,-0.061,-0.793,-1.099
-0.620,0.230,0.755,0.061,0.000,-0.977
-0.629,0.234,0.753,0.183,1.465,-0.061
-0.641,0.250,0.758,1.953,3.540,1.526
-0.669,0.277,0.766,3.784,4.761,3.662
-0.710,0.308,0.777,5.920,5.188,5.859
-0.754,0.344,0.798,7.812,4.333,8.911
-0.839,0.403,0.846,10.803,2.747,13.733
-0.985,0.480,0.958,17.212,4.150,20.996
-1.258,0.599,1.127,22.034,13.428,28.503
-1.614,0.823,1.360,25.879,33.691,38.574
-2.128,1.019,1.680,39.063,53.467,48.767
-2.456,1.454,2.217,53.833,78.186,46.753
-2.870,1.766,2.762,80.566,123.108,44.312
-3.089,1.859,3.030,98.938,196.594,18.005
-3.178,1.625,2.976,95.825,282.654,-26.733
-3.138,1.292,2.709,73.730,366.943,-84.961
-3.007,0.868,2.312,49.255,436.340,-136.719
-2.769,0.443,1.837,32.410,484.253,-171.997
-2.474,0.120,1.406,26.550,507.202,-187.317
-2.226,-0.032,1.172,28.137,506.592,-187.317
-2.040,-0.130,1.040,24.414,510.742,-190.186
-1.895,-0.355,0.825,13.672,522.644,-201.904
-1.754,-0.517,0.567,-1.892,534.241,-210.571
-1.660,-0.657,0.331,-10.437,540.527,-214.722
-1.542,-0.769,0.106,-10.986,544.617,-214.661
-1.404,-0.914,-0.097,-5.066,547.180,-210.449
-1.226,-1.037,-0.323,4.395,549.194,-200.623
-1.003,-1.063,-0.570,11.963,548.279,-183.472
-0.755,-1.044,-0.819,21.057,540.222,-163.086
-0.597,-1.027,-0.944,29.907,519.470,-142.029
-0.383,-1.073,-0.968,23.865,490.540,-127.991
-0.104,-1.151,-1.053,-0.854,466.064,-120.361
0.159,-1.236,-1.239,-25.818,445.251,-104.736
0.452,-1.274,-1.388,-42.603,411.377,-80.444
0.650,-1.226,-1.462,-67.749,365.845,-55.847
0.731,-1.109,-1.488,-101.868,312.866,-33.020
0.763,-0.945,-1.449,-128.967,256.775,-12.695
0.775,-0.742,-1.355,-143.982,206.055,6.226
0.753,-0.543,-1.239,-147.461,164.368,21.545
0.740,-0.390,-1.111,-144.470,134.216,31.616
0.739,-0.210,-0.998,-139.709,114.685,36.804
0.758,-0.046,-0.951,-133.118,103.943,35.767
0.813,0.068,-0.941,-122.131,96.558,28.748
0.893,0.113,-0.958,-105.774,87.524,18.860
0.970,0.128,-0.978,-84.595,75.256,11.475
1.038,0.139,-0.965,-62.683,59.814,5.859
1.071,0.114,-0.887,-40.283,42.236,1.709
1.061,0.079,-0.787,-19.836,25.940,-1.099
1.053,0.051,-0.677,-1.770,11.230,-0.793
1.049,0.020,-0.558,13.306,-2.319,0.061
1.036,0.002,-0.452,23.621,-13.611,1.221
1.019,-0.003,-0.330,29.724,-23.254,2.869
0.986,0.010,-0.222,31.189,-29.724,2.991
0.939,0.018,-0.116,32.471,-32.349,2.319
0.893,0.022,-0.043,33.691,-31.006,1.526
0.873,0.031,0.011,34.790,-27.344,1.282
0.893,0.034,0.023,34.668,-22.400,0.610
0.933,0.042,0.007,32.410,-17.883,0.488
0.973,0.049,-0.015,29.724,-15.381,0.427
1.008,0.050,-0.030,27.466,-15.381,0.610
1.036,0.044,-0.029,26.001,-18.677,1.099
1.036,0.064,-0.021,23.499,-24.597,3.052
1.001,0.030,0.024,24.231,-30.945,15.869
0.970,0.071,0.106,25.391,-35.278,20.569
0.954,0.113,0.166,15.808,-35.339,10.986
0.925,0.099,0.201,14.893,-33.447,12.268
0.909,0.110,0.235,12.695,-30.518,8.911
0.905,0.105,0.241,9.155,-26.306,5.493
0.917,0.103,0.227,9.521,-22.034,3.967
0.945,0.100,0.192,9.644,-19.043,2.502
0.981,0.094,0.160,11.230,-17.578,1.526
1.006,0.087,0.149,13.306,-17.883,1.282
1.021,0.073,0.153,14.221,-19.348,0.427
1.021,0.047,0.176,15.137,-21.240,0.000
1.002,0.028,0.217,14.954,-23.132,0.549
0.981,0.015,0.252,13.916,-23.743,1.221
0.962,0.002,0.275,13.550,-23.254,2.136
0.947,-0.003,0.288,11.841,-21.362,2.686
0.932,-0.004,0.298,9.277,-18.433,2.991
0.934,-0.000,0.288,6.714,-14.709,3.174
0.949,0.005,0.260,4.822,-11.414,3.479
0.969,0.006,0.242,3.052,-9.460,3.174
0.974,0.011,0.233,0.977,-8.484,3.418
0.977,0.016,0.218,-0.549,-7.324,3.601
0.979,0.017,0.200,-1.038,-6.470,3.784
0.985,0.015,0.180,-0.916,-7.019,4.700
0.986,0.016,0.157,-0.793,-8.667,5.554
0.988,0.026,0.155,0.305,-11.414,6.592
