aX,aY,aZ,gX,gY,gZ
0.568,-0.793,-0.365,-3.845,-0.977,3.601
0.568,-0.780,-0.363,-5.005,-1.099,3.967
0.574,-0.770,-0.360,-5.066,-1.038,4.700
0.570,-0.755,-0.352,-6.348,-1.648,5.615
0.578,-0.740,-0.348,-7.507,-2.991,6.226
0.576,-0.733,-0.345,-6.165,-1.831,6.042
0.572,-0.728,-0.343,-5.493,-1.404,5.676
0.572,-0.726,-0.346,-4.272,-1.160,5.432
0.574,-0.730,-0.341,-2.075,-0.977,5.371
0.571,-0.732,-0.334,0.549,-1.343,4.883
0.580,-0.735,-0.336,2.686,-1.709,4.028
0.584,-0.738,-0.336,4.272,-0.061,3.357
0.582,-0.744,-0.335,4.517,0.061,2.869
0.585,-0.752,-0.334,4.089,-0.183,2.319
0.587,-0.763,-0.338,3.784,1.648,2.319
0.585,-0.767,-0.339,1.465,0.732,2.502
0.584,-0.768,-0.342,-0.732,0.916,3.235
0.587,-0.764,-0.340,-3.052,0.000,4.395
0.585,-0.759,-0.339,-5.249,-0.916,4.883
0.586,-0.754,-0.351,-5.127,-0.488,5.188

0.107,0.097,0.980,4.639,-1.343,1.282
0.108,0.097,0.979,4.700,-1.526,0.793
0.107,0.093,0.979,3.906,-1.770,0.916
0.106,0.094,0.983,3.906,-1.831,1.160
0.107,0.094,0.986,4.028,-1.892,1.038
0.104,0.094,0.988,4.578,-1.648,0.977
0.103,0.094,0.990,5.371,-1.526,0.549
0.107,0.089,0.995,5.066,-1.648,0.305
0.109,0.094,0.998,4.456,-1.709,0.244
0.111,0.091,1.000,3.418,-0.977,0.671
0.112,0.088,0.995,2.563,0.122,0.671
0.112,0.081,0.991,2.747,0.793,0.488
0.112,0.077,0.982,4.639,1.526,0.244
0.105,0.071,0.973,6.958,2.014,0.183
0.104,0.068,0.969,8.911,1.160,0.061
0.098,0.066,0.969,11.108,-0.183,0.061
0.099,0.074,0.968,12.878,-1.404,0.061
0.102,0.063,0.976,14.709,-2.319,0.000
0.103,0.076,0.979,14.343,-3.296,0.305
0.109,0.084,0.974,10.803,-4.089,0.854
0.114,0.093,0.981,5.920,-4.211,1.709
0.113,0.090,0.984,1.465,-2.991,2.014
0.116,0.085,0.979,-2.014,-2.380,2.136
0.110,0.081,0.974,-5.859,-1.953,2.563
0.106,0.076,0.966,-6.165,-0.732,2.502
0.098,0.080,0.965,-3.967,-1.648,2.136
0.103,0.082,0.967,-1.099,-2.319,1.648
0.102,0.084,0.969,1.648,-3.540,1.221
0.103,0.087,0.981,4.456,-4.395,0.916
0.111,0.093,0.992,7.080,-4.639,-0.061
0.118,0.088,1.008,10.925,-3.845,-2.136
0.130,0.071,1.052,16.418,-2.869,-4.639
0.152,-0.004,1.142,29.114,-0.488,-8.911
0.151,-0.118,1.237,52.551,3.296,-15.198
0.155,-0.316,1.365,95.093,8.606,-23.804
0.108,-0.591,1.554,163.513,11.414,-32.349
0.093,-0.905,1.838,266.357,13.550,-39.001
0.133,-1.127,2.088,400.208,17.517,-37.659
0.115,-1.440,2.295,553.406,21.851,-36.072
0.091,-1.797,2.432,708.862,20.508,-34.790
0.066,-2.048,2.426,851.624,19.348,-26.123
0.041,-2.172,2.276,960.205,10.925,-4.456
0.028,-2.179,2.134,1013.245,-12.634,31.067
-0.011,-2.053,1.909,1016.724,-35.767,73.303
-0.043,-1.812,1.675,981.018,-46.570,113.037
-0.005,-1.519,1.416,912.231,-44.922,148.010
0.063,-1.125,1.103,812.317,-32.166,171.753
0.105,-0.699,0.791,693.848,-8.545,183.655
0.029,-0.371,0.364,576.782,28.137,185.242
-0.070,-0.378,0.043,464.355,56.091,171.631
-0.158,-0.297,-0.167,355.164,66.650,153.442
-0.291,-0.198,-0.356,271.667,63.660,142.517
-0.388,-0.111,-0.394,210.205,42.114,136.658
-0.468,-0.030,-0.426,165.588,8.362,131.348
-0.454,0.124,-0.433,127.258,-31.494,129.150
-0.408,0.308,-0.335,92.163,-77.393,132.263
-0.268,0.529,-0.156,57.190,-122.314,134.827
-0.105,0.669,0.065,22.949,-155.273,125.000
0.069,0.593,0.238,-0.244,-166.199,97.717
0.247,0.457,0.384,-22.095,-156.616,61.523
0.419,0.320,0.621,-35.156,-138.611,30.212
0.547,0.071,0.845,0.427,-107.605,8.728
0.675,-0.180,0.913,29.053,-65.552,-3.845
0.731,-0.385,0.888,40.161,-19.104,-11.169
0.745,-0.564,0.652,41.138,21.484,-14.099
0.700,-0.675,0.339,27.649,50.171,-8.423
0.617,-0.749,0.047,6.409,62.622,2.380
0.585,-0.784,-0.190,-6.409,61.157,11.475
0.557,-0.833,-0.346,-7.263,49.133,13.428
0.525,-0.899,-0.456,-0.244,34.973,10.437
0.515,-0.933,-0.555,10.803,24.414,5.920
0.497,-0.946,-0.621,23.926,14.771,4.333
0.484,-0.934,-0.650,29.053,5.798,6.958
0.472,-0.897,-0.637,30.701,-2.991,10.498
0.467,-0.834,-0.594,28.809,-8.484,12.756
0.476,-0.794,-0.500,25.146,-12.756,11.108
0.491,-0.791,-0.367,22.583,-17.456,6.470
0.501,-0.798,-0.218,21.423,-16.479,2.625
0.523,-0.814,-0.084,18.799,-14.832,0.549
0.537,-0.822,-0.044,13.733,-10.681,0.122
0.534,-0.804,-0.079,3.418,-5.493,2.686
0.519,-0.773,-0.142,-10.315,-1.892,7.202
0.503,-0.750,-0.221,-21.545,0.305,11.414
0.490,-0.746,-0.291,-25.085,0.671,13.306
0.489,-0.756,-0.352,-22.705,-1.465,11.780
0.488,-0.771,-0.388,-15.869,-1.892,8.240
0.494,-0.775,-0.418,-8.423,-4.028,5.310
0.505,-0.784,-0.417,-2.625,-5.737,4.028
0.509,-0.780,-0.395,3.601,-5.493,2.869
0.521,-0.785,-0.362,7.751,-6.958,1.221
0.526,-0.797,-0.328,10.437,-4.456,0.061
0.516,-0.810,-0.310,8.606,-5.005,-0.244
0.513,-0.828,-0.294,5.676,-4.150,1.099
0.511,-0.837,-0.284,0.916,-1.770,3.540
0.503,-0.840,-0.293,-3.784,-1.648,4.944
0.502,-0.835,-0.302,-5.981,-4.395,5.554
0.501,-0.828,-0.314,-5.127,-4.211,6.104
0.501,-0.825,-0.320,-4.456,-4.211,5.615
0.504,-0.821,-0.323,-3.906,-6.287,5.371
0.502,-0.816,-0.317,-2.563,-4.211,5.493
0.500,-0.815,-0.314,-2.991,-3.357,5.981
0.493,-0.811,-0.316,-4.456,-1.770,6.470
0.481,-0.807,-0.318,-5.493,-0.427,6.653
0.479,-0.800,-0.328,-6.226,0.000,6.409
0.478,-0.797,-0.329,-5.127,0.427,6.226
0.485,-0.793,-0.328,-3.845,-0.366,5.310
0.488,-0.798,-0.322,-2.380,-1.526,4.150
0.494,-0.806,-0.308,0.000,-1.526,2.686
0.500,-0.820,-0.298,1.648,-2.991,1.465
0.501,-0.837,-0.287,3.235,-0.671,1.282
0.505,-0.861,-0.283,-0.122,-0.916,1.587
0.509,-0.872,-0.282,-3.296,-1.038,3.601
0.505,-0.873,-0.283,-4.333,1.953,5.249
0.507,-0.864,-0.288,-7.263,1.038,6.409
0.507,-0.849,-0.295,-7.568,1.709,7.568
0.512,-0.832,-0.297,-8.850,1.099,7.629
0.511,-0.822,-0.302,-8.484,1.526,7.812
0.508,-0.804,-0.307,-7.935,0.732,8.057
0.508,-0.795,-0.310,-6.958,1.404,7.812

0.108,0.173,0.976,7.080,-5.981,1.038
0.104,0.175,0.980,10.315,-5.859,0.977
0.105,0.179,0.981,11.414,-5.371,1.648
0.103,0.187,0.987,11.047,-5.432,2.258
0.107,0.192,0.992,9.277,-4.639,2.930
0.109,0.198,0.995,7.263,-3.662,3.662
0.108,0.201,0.996,5.920,-2.136,4.089
0.107,0.200,0.986,4.822,-0.671,4.028
0.100,0.198,0.976,5.005,0.427,3.784
0.099,0.197,0.964,5.310,0.732,3.357
0.096,0.196,0.955,5.737,0.427,3.052
0.094,0.194,0.953,5.981,-0.488,2.686
0.095,0.198,0.950,6.592,-1.160,2.747
0.094,0.203,0.952,6.348,-1.465,2.991
0.094,0.207,0.957,5.798,-2.197,2.991
0.096,0.210,0.959,5.310,-2.319,2.808
0.098,0.208,0.965,5.127,-2.380,2.319
0.100,0.204,0.967,4.883,-1.770,1.892
0.100,0.197,0.962,5.066,-1.526,1.282
0.097,0.194,0.957,5.981,-0.977,0.916
0.097,0.193,0.951,6.287,-0.916,0.916
0.095,0.194,0.947,5.920,-1.770,0.977
0.095,0.196,0.949,4.761,-2.686,0.793
0.095,0.196,0.953,3.235,-3.601,0.732
0.096,0.196,0.955,1.953,-4.456,0.793
0.095,0.200,0.958,2.380,-4.517,0.671
0.096,0.200,0.956,3.174,-4.822,0.488
0.090,0.196,0.951,4.333,-5.127,-0.244
0.089,0.198,0.950,5.066,-5.432,-0.793
0.083,0.188,0.951,6.409,-5.798,-1.282
0.077,0.164,0.956,9.583,-6.958,-2.380
0.074,0.124,0.976,16.235,-8.240,-4.028
0.066,0.080,1.002,27.710,-10.010,-6.287
0.057,0.001,1.056,46.082,-12.756,-9.338
0.044,-0.168,1.179,77.454,-17.395,-16.113
0.025,-0.448,1.369,134.583,-20.264,-27.771
0.054,-0.747,1.623,222.961,-22.949,-36.865
0.066,-1.046,1.952,346.252,-20.508,-38.330
0.052,-1.422,2.301,506.531,-13.123,-34.363
0.067,-1.758,2.648,705.872,-0.244,-28.015
-0.040,-1.978,2.682,895.508,14.771,-21.729
-0.168,-2.197,2.622,1050.293,13.123,-15.015
-0.224,-2.191,2.406,1171.143,-11.719,0.000
-0.290,-2.076,2.094,1233.032,-51.208,25.818
-0.346,-1.984,1.764,1221.985,-94.116,58.411
-0.240,-1.876,1.538,1154.602,-124.512,103.027
-0.030,-1.510,1.382,1047.729,-134.277,149.292
0.090,-1.002,1.079,915.466,-115.295,187.378
0.085,-0.633,0.566,760.803,-66.895,211.487
-0.056,-0.435,0.043,598.145,-18.982,221.436
